timestamp_utc,RG1_mm,VWC_20cm,VWC_50cm,VWC_94cm,porePressure_63cm_kPa,porePressure_133cm_kPa,porePressure_209cm_kPa
734047,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734047.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.416666667,0.77,NaN,NaN,NaN,NaN,NaN,NaN
734048.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734048.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.25,0.25,NaN,NaN,NaN,NaN,NaN,NaN
734049.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.75,0.76,NaN,NaN,NaN,NaN,NaN,NaN
734049.791666667,0.26,NaN,NaN,NaN,NaN,NaN,NaN
734049.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734049.958333333,0.25,NaN,NaN,NaN,NaN,NaN,NaN
734050,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.458333333,0.25,NaN,NaN,NaN,NaN,NaN,NaN
734050.5,0.51,NaN,NaN,NaN,NaN,NaN,NaN
734050.541666667,0.26,NaN,NaN,NaN,NaN,NaN,NaN
734050.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.625,0.25,NaN,NaN,NaN,NaN,NaN,NaN
734050.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734050.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
