WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
25379,20070101,100,20061231,1600,1.301,-135.33,57.06,5.1,5,5.2,4.8,0.5,0,0,0,0,0,0,R,3.9,0,4,0,3.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,200,20061231,1700,1.301,-135.33,57.06,5.2,5.2,5.4,5,1.9,0,0,0,0,0,0,R,4.1,0,4.4,0,3.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,300,20061231,1800,1.301,-135.33,57.06,5.1,5.2,5.4,5.1,1.8,0,0,0,0,0,0,R,4.2,0,4.5,0,4.1,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,400,20061231,1900,1.301,-135.33,57.06,4.9,5,5.2,4.9,2.7,0,0,0,0,0,0,R,4.1,0,4.3,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,500,20061231,2000,1.301,-135.33,57.06,4.9,4.8,4.9,4.6,2.8,0,0,0,0,0,0,R,3.9,0,4.3,0,3.7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,600,20061231,2100,1.301,-135.33,57.06,5,5,5.1,4.9,5.5,0,0,0,0,0,0,R,4.2,0,4.8,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,700,20061231,2200,1.301,-135.33,57.06,5.1,5,5.1,5,3.2,0,0,0,0,0,0,R,4.1,0,4.7,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,800,20061231,2300,1.301,-135.33,57.06,5.1,5,5.1,5,1.4,0,0,0,0,0,0,R,4,0,4.5,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,900,20070101,0,1.301,-135.33,57.06,5.5,5.3,5.5,5.1,1.4,0,0,0,0,0,0,R,4.2,0,4.6,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1000,20070101,100,1.301,-135.33,57.06,5.7,5.7,5.8,5.5,0.8,0,0,0,0,0,0,R,4.4,0,4.9,0,4.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1100,20070101,200,1.301,-135.33,57.06,5.9,5.9,6.2,5.7,1,0,0,0,0,0,0,R,4.6,0,5,0,4.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1200,20070101,300,1.301,-135.33,57.06,5.8,5.8,6.1,5.5,0,0,0,0,0,0,0,R,4.2,0,4.6,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1300,20070101,400,1.301,-135.33,57.06,5.3,5.3,5.8,5.2,0,0,0,0,0,0,0,R,4,0,4.2,0,3.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1400,20070101,500,1.301,-135.33,57.06,5.4,5.3,5.4,5.2,0.3,0,0,0,0,0,0,R,4,0,4.2,0,3.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1500,20070101,600,1.301,-135.33,57.06,5.4,5.4,5.5,5.3,0.7,0,0,0,0,0,0,R,4.2,0,4.9,0,4.1,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1600,20070101,700,1.301,-135.33,57.06,5.5,5.4,5.5,5.3,1.1,0,0,0,0,0,0,R,4.3,0,4.8,0,4.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1700,20070101,800,1.301,-135.33,57.06,6,5.6,6,5.4,2.4,0,0,0,0,0,0,R,4.5,0,4.9,0,4.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1800,20070101,900,1.301,-135.33,57.06,6.9,6.6,6.9,6.1,0.7,0,0,0,0,0,0,R,4.9,0,5.3,0,4.7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,1900,20070101,1000,1.301,-135.33,57.06,6.7,6.9,7.4,6.6,0.5,0,0,0,0,0,0,R,4.9,0,5.5,0,4.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,2000,20070101,1100,1.301,-135.33,57.06,7.2,6.9,7.3,6.5,0.5,0,0,4,0,0,0,R,4.8,0,5.2,0,4.6,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,2100,20070101,1200,1.301,-135.33,57.06,7.2,7.3,7.5,7.1,0,0,0,0,0,0,0,R,4.9,0,5.4,0,4.7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,2200,20070101,1300,1.301,-135.33,57.06,6.3,6.7,7.5,6.3,2.4,0,0,0,0,0,0,R,4.8,0,5.3,0,4.7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070101,2300,20070101,1400,1.301,-135.33,57.06,6,6.1,6.3,6,3.3,0,0,0,0,0,0,R,4.7,0,5.3,0,4.6,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070102,0,20070101,1500,1.301,-135.33,57.06,5.1,5.2,6.2,4.2,3.7,0,0,0,0,0,0,R,4.1,0,5.2,0,3.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20070102,100,20070101,1600,1.301,-135.33,57.06,5.7,5.5,5.7,5.1,0.2,0,0,0,0,0,0,R,4.2,0,4.7,0,4.1,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
